font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Forestry,geosiana-marker_forestry,U+00CE,Î,Icircumflex,svg/geosiana-marker_forestry/u00CE-icircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00CF,Ï,Idieresis,svg/geosiana-marker_forestry/u00CF-idieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D0,Ð,Eth,svg/geosiana-marker_forestry/u00D0-eth.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D1,Ñ,Ntilde,svg/geosiana-marker_forestry/u00D1-ntilde.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D2,Ò,Ograve,svg/geosiana-marker_forestry/u00D2-ograve.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D3,Ó,Oacute,svg/geosiana-marker_forestry/u00D3-oacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D4,Ô,Ocircumflex,svg/geosiana-marker_forestry/u00D4-ocircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D5,Õ,Otilde,svg/geosiana-marker_forestry/u00D5-otilde.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D6,Ö,Odieresis,svg/geosiana-marker_forestry/u00D6-odieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D7,×,multiply,svg/geosiana-marker_forestry/u00D7-multiply.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D8,Ø,Oslash,svg/geosiana-marker_forestry/u00D8-oslash.svg
Geosiana Forestry,geosiana-marker_forestry,U+00D9,Ù,Ugrave,svg/geosiana-marker_forestry/u00D9-ugrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00DA,Ú,Uacute,svg/geosiana-marker_forestry/u00DA-uacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00DB,Û,Ucircumflex,svg/geosiana-marker_forestry/u00DB-ucircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00DC,Ü,Udieresis,svg/geosiana-marker_forestry/u00DC-udieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00DD,Ý,Yacute,svg/geosiana-marker_forestry/u00DD-yacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00DE,Þ,Thorn,svg/geosiana-marker_forestry/u00DE-thorn.svg
